"asin","fnsku","product_name","fulfillment_center","country_code","longest_side","median_side","shortest_side","measurement_units","weight","weight_units","item_volume","volume_units","product_size_tier","average_quantity_on_hand","average_quantity_pending_removal","estimated_total_item_volume","month_of_charge","storage_rate","currency","estimated_monthly_storage_fee","dangerous_goods_storage_type","eligible_for_inventory_discount","qualifies_for_inventory_discount","total_incentive_fee_amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B07XX7TK7N","X002BC00R9","Nidavellir 2-Pack Fist Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ACY1","US","5.7","2.9","1.6","inches","0.55","pounds","0.0153","cubic feet","Standard-Size","1.0","0.0","0.0153","2022-09","0.83","USD","0.0127","--","N","N","0.0","--","0.0"
"B08XWY4F7C","X002TM7I8Z","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","ACY1","US","6.97","4.06","2.83","inches","0.15","pounds","0.0463","cubic feet","Standard-Size","0.13","0.0","0.0015","2022-09","0.83","USD","0.0013","--","N","N","0.0","--","0.1"
"B09LCPZDBY","X0032LHFBH","365Home Bamboo Silverware Organizer Flatware Utensil Caddy Bamboo Utensil Holder Wooden Cutlery Holder with Bamboo Tray for Kitchen Countertop Farmhouse (Forks, Knives, Spoons, Spoons)","ACY1","US","15.16","6.34","4.88","inches","2.05","pounds","0.2714","cubic feet","Standard-Size","1.0","0.0","0.2714","2022-09","0.83","USD","0.2251","--","N","N","0.0","--","0.0"
"B09644ZKN9","X0032LIU4D","365Home Bamboo Silverware Organizer Flatware Utensil Caddy Bamboo Utensil Holder Wooden Cutlery Holder with Bamboo Tray for Kitchen Countertop Farmhouse (Forks, Knives, Spoons)","ACY1","US","11.74","6.54","4.89","inches","2.09","pounds","0.2173","cubic feet","Standard-Size","0.57","0.0","0.1014","2022-09","0.83","USD","0.0842","--","N","N","0.0","--","0.1"
"B0B42HXW3P","X003A8GAYP","365Home Bowl Cozy Template 3 Sizes, Clear Acrylic Bowl Wrap, Sewing Pattern Templates for Quilting with Needle Set and Manual Instruction","ACY1","US","11.89","11.57","0.63","inches","0.73","pounds","0.0502","cubic feet","Standard-Size","0.03","0.0","0.0017","2022-09","0.83","USD","0.0014","--","N","N","0.0","--","0.0"
"B07JVS7RTP","X001X335EH","VNFLY Cute Keychain Lovely Animal Characters, Mini Figure Collection Playset, Plant Pot Craft Dollhouse Decoration, Cake Topper, Cake Decoration (2 x 1.23 inches)","AFW1","US","3.82","1.93","1.89","inches","0.05","pounds","0.0081","cubic feet","Standard-Size","3.13","0.0","0.0253","2022-09","0.83","USD","0.021","--","N","N","0.0","--","0.0"
"B07JCQ6BBC","X001X3C7U5","VNFLY Cute Keychain Lovely Animal Characters, Mini Figure Collection Playset, Plant Pot Craft Dollhouse Decoration, Cake Topper, Cake Decoration (1.8 x 1.27 inches)","AFW1","US","2.8","2.68","1.18","inches","0.04","pounds","0.0051","cubic feet","Standard-Size","26.57","0.0","0.1343","2022-09","0.83","USD","0.1114","--","N","N","0.0","--","0.37"
"B07KX5V1LC","X001YUO5YX","VNFLY 2-Pack Rocket Pens, 4-Color Ballpoint Pen, Fat Pens, Jumbo Pens with Rubber Grip (Blue)","AFW1","US","5.05","4.0","1.02","inches","0.1","pounds","0.0119","cubic feet","Standard-Size","0.67","0.0","0.0079","2022-09","0.83","USD","0.0066","--","N","N","0.0","--","0.0"
"B07RYPBYPV","X0026HUHVX","VNFLY Magnetic Hammer Shaped Beer Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","AFW1","US","6.69","3.82","2.2","inches","0.35","pounds","0.0325","cubic feet","Standard-Size","11.0","0.0","0.3579","2022-09","0.83","USD","0.2971","--","N","N","0.0","--","0.0"
"B07V278VJ1","X0028N5BQ1","Nidavellir Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AFW1","US","3.2","1.8","0.04","inches","0.5","pounds","1.0E-4","cubic feet","Standard-Size","1.0","0.0","1.0E-4","2022-09","0.83","USD","1.0E-4","--","N","N","0.0","--","0.0"
"B07XX7P9F6","X002BBZPYN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AFW1","US","6.46","5.28","2.2","inches","0.35","pounds","0.0434","cubic feet","Standard-Size","2.0","0.0","0.0869","2022-09","0.83","USD","0.0721","--","N","N","0.0","--","0.0"
"B084Z4Y8ZY","X002GW0GM3","365Home 2-Pack Our First Home 2022 Keychain Housewarming Gift New Home Gift Realtor Closing Gifts (Our First Home 2)","AFW1","US","3.0","2.0","0.2","inches","0.2","pounds","7.0E-4","cubic feet","Standard-Size","43.17","0.0","0.0299","2022-09","0.83","USD","0.0248","--","N","N","0.0","--","0.07"
"B085KZBCLD","X002HF7C9J","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","AFW1","US","4.49","3.35","0.75","inches","0.2","pounds","0.0065","cubic feet","Standard-Size","34.73","0.0","0.2265","2022-09","0.83","USD","0.188","--","N","N","0.0","--","0.03"
"B085L7PY6Z","X002HF85EP","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend (Silver)","AFW1","US","3.15","1.89","1.02","inches","0.2","pounds","0.0035","cubic feet","Standard-Size","31.0","0.0","0.1089","2022-09","0.83","USD","0.0904","--","N","N","0.0","--","0.0"
"B08HWTQCLL","X002NATMU5","Nidavellir Shield Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Bronze)","AFW1","US","2.28","1.73","0.55","inches","0.04","pounds","0.0013","cubic feet","Standard-Size","1.0","0.0","0.0013","2022-09","0.83","USD","0.001","--","N","N","0.0","--","0.0"
"B08XWY4F7C","X002TM7I8Z","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","AFW1","US","6.97","4.06","2.83","inches","0.15","pounds","0.0463","cubic feet","Standard-Size","4.0","0.0","0.1854","2022-09","0.83","USD","0.1539","--","N","N","0.0","--","0.0"
"B08ZN9NFPK","X002UDBVHH","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 White)","AFW1","US","6.26","4.41","2.64","inches","0.26","pounds","0.0422","cubic feet","Standard-Size","21.0","0.0","0.8857","2022-09","0.83","USD","0.739","--","N","N","0.0","--","0.0"
"B08ZNH2YZW","X002UDI1W5","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Black & 2 White)","AFW1","US","7.72","5.28","2.6","inches","0.31","pounds","0.0613","cubic feet","Standard-Size","0.1","0.0","0.0041","2022-09","0.83","USD","0.0034","--","N","N","0.0","--","0.03"
"B08ZNJQ2CN","X002UDIWNX","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 Black)","AFW1","US","8.9","5.24","2.83","inches","0.33","pounds","0.0764","cubic feet","Standard-Size","1.0","0.0","0.0764","2022-09","0.83","USD","0.0634","--","N","N","0.0","--","0.0"
"B09FPZNRX9","X0030CGYG5","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","AFW1","US","4.88","3.62","2.8","inches","0.13","pounds","0.0286","cubic feet","Standard-Size","1.0","0.0","0.0286","2022-09","0.83","USD","0.0238","--","N","N","0.0","--","0.0"
"B09HVB5BCC","X0031GQM0D","VNFLY Shield Keychain and Hammer Keychain, Cool Gifts for Men, Husband, Boyfriend","AFW1","US","5.63","3.86","0.83","inches","0.29","pounds","0.0104","cubic feet","Standard-Size","1.03","0.87","0.0017","2022-09","0.83","USD","0.0014","--","N","N","0.0","--","0.0"
"B09NR1LC4C","X0033S6WEF","365Home 2-Pack Our First Home 2022 Keychain Housewarming Gift New Home Gift Realtor Closing Gifts (Our First Home 3)","AFW1","US","3.9","1.85","0.47","inches","0.07","pounds","0.002","cubic feet","Standard-Size","2.0","0.0","0.0039","2022-09","0.83","USD","0.0033","--","N","N","0.0","--","0.0"
"B09791N7TS","X0033SE0N5","365Home 2-Pack Our First Home 2022 Keychain Housewarming Gift New Home Gift Realtor Closing Gifts (Our First Home 4)","AFW1","US","4.45","3.9","0.39","inches","0.04","pounds","0.0039","cubic feet","Standard-Size","9.0","0.0","0.0353","2022-09","0.83","USD","0.0293","--","N","N","0.0","--","0.0"
"B07KX5V1LC","X001YUO5YX","VNFLY 2-Pack Rocket Pens, 4-Color Ballpoint Pen, Fat Pens, Jumbo Pens with Rubber Grip (Blue)","AKC1","US","5.05","4.0","1.02","inches","0.1","pounds","0.0119","cubic feet","Standard-Size","0.9","0.0","0.0107","2022-09","0.83","USD","0.0089","--","N","N","0.0","--","0.0"
"B07SC37NY5","X0026W1D9X","VNFLY Shield Keychain, Cool Gifts for Men, Husband, Boyfriend (Rotative Version)","AKC1","US","4.29","3.31","0.75","inches","0.11","pounds","0.0062","cubic feet","Standard-Size","2.63","0.0","0.0162","2022-09","0.83","USD","0.0135","--","N","N","0.0","--","0.0"
"B07RND7Q6Y","X00277ZSBB","VNFLY Shield Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","2.25","2.05","0.65","inches","0.09","pounds","0.0017","cubic feet","Standard-Size","68.97","0.0","0.1195","2022-09","0.83","USD","0.0992","--","N","N","0.0","--","0.07"
"B07V278VJ1","X0028N5BQ1","Nidavellir Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","3.2","1.8","0.04","inches","0.5","pounds","1.0E-4","cubic feet","Standard-Size","17.0","0.0","0.0023","2022-09","0.83","USD","0.0019","--","N","N","0.0","--","0.0"
"B07V1RBC2X","X0028O2PTV","VNFLY Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","AKC1","US","4.53","3.46","0.87","inches","0.09","pounds","0.0079","cubic feet","Standard-Size","2.0","0.0","0.0158","2022-09","0.83","USD","0.0131","--","N","N","0.0","--","0.0"
"B07V5FRPQR","X0028QCO2R","VNFLY Glove Keychain Glove Key Ring, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","4.37","1.65","1.34","inches","0.12","pounds","0.0056","cubic feet","Standard-Size","23.17","0.0","0.1291","2022-09","0.83","USD","0.1072","--","N","N","0.0","--","0.1"
"B07XX7P9F6","X002BBZPYN","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","6.46","5.28","2.2","inches","0.35","pounds","0.0434","cubic feet","Standard-Size","1.83","0.0","0.0767","2022-09","0.83","USD","0.0637","--","N","N","0.0","--","0.07"
"B07XX7TK7N","X002BC00R9","Nidavellir 2-Pack Fist Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","5.7","2.9","1.6","inches","0.55","pounds","0.0153","cubic feet","Standard-Size","0.8","0.0","0.0122","2022-09","0.83","USD","0.0102","--","N","N","0.0","--","0.0"
"B07XX87R29","X002BC0MTF","Nidavellir 2-Pack Magnetic Hammer Shaped Beer Opener and Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","AKC1","US","6.77","4.29","2.05","inches","0.37","pounds","0.0345","cubic feet","Standard-Size","11.93","0.0","0.41","2022-09","0.83","USD","0.3403","--","N","N","0.0","--","0.03"
"B07XYXCKZ2","X002BER5QL","365Home 2-Pack Our First Home 2022 Keychain Housewarming Gift New Home Gift Realtor Closing Gifts (Our First Home 1)","AKC1","US","3.98","1.89","0.28","inches","0.04","pounds","0.0012","cubic feet","Standard-Size","0.07","0.0","1.0E-4","2022-09","0.83","USD","1.0E-4","--","N","N","0.0","--","0.0"
"B07Y8CDXX7","X002BMAK6F","365Home 3-Pack Bronze Glove Keychain Silver Hammer Keychain Red Glove Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.16","4.65","1.22","inches","0.04","pounds","0.0169","cubic feet","Standard-Size","1.0","0.0","0.0169","2022-09","0.83","USD","0.0141","--","N","N","0.0","--","0.0"
"B07Y8DR1KJ","X002BMC33N","365Home 3-Pack Silver Axe Keychain Red Glove Keychain Silver Hammer Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.31","3.86","1.14","inches","0.3","pounds","0.0135","cubic feet","Standard-Size","4.0","0.0","0.0542","2022-09","0.83","USD","0.045","--","N","N","0.0","--","0.0"
"B07Z7G5PXZ","X002CIGNAF","365Home Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Gold)","AKC1","US","3.6","1.9","1.5","inches","0.15","pounds","0.0059","cubic feet","Standard-Size","1.33","0.0","0.0079","2022-09","0.83","USD","0.0066","--","N","N","0.0","--","0.0"
"B07Z779DMH","X002CII6L9","365Home Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Red Copper)","AKC1","US","3.0","2.0","1.0","inches","0.1","pounds","0.0035","cubic feet","Standard-Size","6.0","0.0","0.0207","2022-09","0.83","USD","0.0172","--","N","N","0.0","--","0.03"
"B085L7PY6Z","X002HF85EP","365Home Metal Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend (Silver)","AKC1","US","3.15","1.89","1.02","inches","0.2","pounds","0.0035","cubic feet","Standard-Size","2.53","0.0","0.0089","2022-09","0.83","USD","0.0074","--","N","N","0.0","--","0.0"
"B08CXG45F4","X002L0EXYR","365Home 2-Pack Hammer Keychain and Axe Keychain, Cool Gifts for Men, Husband, Boyfriend","AKC1","US","5.7","4.6","1.0","inches","0.17","pounds","0.0152","cubic feet","Standard-Size","0.83","0.0","0.0111","2022-09","0.83","USD","0.0092","--","N","N","0.0","--","0.1"
"B08XWY4F7C","X002TM7I8Z","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (1 Black & 1 White)","AKC1","US","6.97","4.06","2.83","inches","0.15","pounds","0.0463","cubic feet","Standard-Size","0.9","0.0","0.0417","2022-09","0.83","USD","0.0346","--","N","N","0.0","--","0.0"
"B08Y5PSHJ9","X002TPQ8ZL","365Home Multifunction Barbecue Meat Skewer Machine BBQ Meat String Device Quick Portable Meat Skewer Box Easy Skewer Tools Kebab Maker BBQ Gadget","AKC1","US","7.4","5.24","1.61","inches","0.24","pounds","0.0361","cubic feet","Standard-Size","5.0","0.0","0.1806","2022-09","0.83","USD","0.1499","--","N","N","0.0","--","0.0"
"B08ZNH5HQP","X002UDI1VV","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (3 White)","AKC1","US","7.32","4.88","3.23","inches","0.22","pounds","0.0668","cubic feet","Standard-Size","2.0","0.0","0.1335","2022-09","0.83","USD","0.1108","--","N","N","0.0","--","0.0"
"B09FPZNRX9","X0030CGYG5","365Home Hanging Utensil Holder Hooks Kitchen Utensil Hanger Wall Mount 360 Degrees Rotating Folding Hook Self Adhesive Hook Utensil Rack with 6 Hooks for Kitchen Bathroom Cabinet (2 Blacks)","AKC1","US","4.88","3.62","2.8","inches","0.13","pounds","0.0286","cubic feet","Standard-Size","0.63","0.0","0.0181","2022-09","0.83","USD","0.015","--","N","N","0.0","--","0.0"
"B09LCPZDBY","X0032LHFBH","365Home Bamboo Silverware Organizer Flatware Utensil Caddy Bamboo Utensil Holder Wooden Cutlery Holder with Bamboo Tray for Kitchen Countertop Farmhouse (Forks, Knives, Spoons, Spoons)","AKC1","US","15.16","6.34","4.88","inches","2.05","pounds","0.2714","cubic feet","Standard-Size","2.0","0.0","0.5429","2022-09","0.83","USD","0.4506","--","N","N","0.0","--","0.0"
"B09644ZKN9","X0032LIU4D","365Home Bamboo Silverware Organizer Flatware Utensil Caddy Bamboo Utensil Holder Wooden Cutlery Holder with Bamboo Tray for Kitchen Countertop Farmhouse (Forks, Knives, Spoons)","AKC1","US","11.74","6.54","4.89","inches","2.09","pounds","0.2173","cubic feet","Standard-Size","6.8","0.0","1.4775","2022-09","0.83","USD","1.224","--","N","N","0.0","--","0.0"
"B0B42LPW36","X003A8GAYF","365Home Bowl Cozy Pattern Template, Clear Acrylic Bowl Wrap, Sewing Templates for Quilting with Needle Set, Rotary Cutter and Manual Instruction","AKC1","US","7.09","7.01","0.43","inches","0.15","pounds","0.0124","cubic feet","Standard-Size","0.4","0.0","0.0049","2022-09","0.83","USD","0.0041","--","N","N","0.0","--","0.0"
"B0B42HXW3P","X003A8GAYP","365Home Bowl Cozy Template 3 Sizes, Clear Acrylic Bowl Wrap, Sewing Pattern Templates for Quilting with Needle Set and Manual Instruction","AKC1","US","11.89","11.57","0.63","inches","0.73","pounds","0.0502","cubic feet","Standard-Size","0.03","0.0","0.0017","2022-09","0.83","USD","0.0014","--","N","N","0.0","--","0.0"
"B0B42JF83D","X003A8K93X","365Home Bowl Cozy Pattern Template, Clear Acrylic Bowl Wrap, Sewing Templates for Quilting with Needle Set, Rotary Cutter and Manual Instruction","AKC1","US","8.94","8.7","0.59","inches","0.29","pounds","0.0266","cubic feet","Standard-Size","1.0","0.0","0.0266","2022-09","0.83","USD","0.022","--","N","N","0.0","--","0.0"
"B07GLJ2YNF","X001X2JGO1","VNFLY Axe Keychain Hammer Keychain Hammer Key Ring, Cool Gifts for Men, Husband, Boyfriend","ATL2","US","5.59","4.06","0.43","inches","0.07","pounds","0.0056","cubic feet","Standard-Size","13.87","0.0","0.0781","2022-09","0.83","USD","0.0648","--","N","N","0.0","--","0.03"
"B07KX5LWHM","X001YSJJJB","VNFLY 2-Pack Rocket Pens, 4-Color Ballpoint Pen, Fat Pens, Jumbo Pens with Rubber Grip (Silver & Blue)","ATL2","US","6.22","3.9","1.14","inches","0.18","pounds","0.016","cubic feet","Standard-Size","2.0","0.0","0.032","2022-09","0.83","USD","0.0266","--","N","N","0.0","--","0.0"
"B07KX5V1LC","X001YUO5YX","VNFLY 2-Pack Rocket Pens, 4-Color Ballpoint Pen, Fat Pens, Jumbo Pens with Rubber Grip (Blue)","ATL2","US","5.05","4.0","1.02","inches","0.1","pounds","0.0119","cubic feet","Standard-Size","4.0","0.0","0.0477","2022-09","0.83","USD","0.0396","--","N","N","0.0","--","0.0"
"B07R3WFSN8","X0024LVCWJ","SNAPY 2-Pack Mini Folding Camping Stool, Lightweight Camp Stool, Portable Folding Camp Chair, Ultralight Camping Chair for BBQ, Camping, Fishing, Travel, Hiking (Silver Grey & Blue)","ATL2","US","12.8","7.1","2.8","inches","1.75","pounds","0.1473","cubic feet","Standard-Size","0.1","0.0","0.0147","2022-09","0.83","USD","0.0122","--","N","N","0.0","--","0.0"
"B07R3HRS1S","X0024N0PGV","SNAPY 2-Pack Mini Folding Camping Stool, Lightweight Camp Stool, Portable Folding Camp Chair, Ultralight Camping Chair for BBQ, Camping, Fishing, Travel, Hiking (Blue & Blue)","ATL2","US","13.0","6.0","3.0","inches","1.7","pounds","0.1354","cubic feet","Standard-Size","0.37","0.0","0.0497","2022-09","0.83","USD","0.0412","--","N","N","0.0","--","0.0"
"B07R3WYPKD","X0024N0PO3","SNAPY 2-Pack Mini Folding Camping Stool, Lightweight Camp Stool, Portable Folding Camp Chair, Ultralight Camping Chair for BBQ, Camping, Fishing, Travel, Hiking (Silver Grey & Silver Grey)","ATL2","US","12.6","7.5","3.4","inches","1.8","pounds","0.1859","cubic feet","Standard-Size","0.03","0.0","0.0062","2022-09","0.83","USD","0.0051","--","N","N","0.0","--","0.0"
"B07RYPBYPV","X0026HUHVX","VNFLY Magnetic Hammer Shaped Beer Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","ATL2","US","6.69","3.82","2.2","inches","0.35","pounds","0.0325","cubic feet","Standard-Size","15.93","0.0","0.5184","2022-09","0.83","USD","0.4303","--","N","N","0.0","--","0.0"
"B07SC37NY5","X0026W1D9X","VNFLY Shield Keychain, Cool Gifts for Men, Husband, Boyfriend (Rotative Version)","ATL2","US","4.29","3.31","0.75","inches","0.11","pounds","0.0062","cubic feet","Standard-Size","2.3","0.0","0.0142","2022-09","0.83","USD","0.0118","--","N","N","0.0","--","0.0"
"B07RND7Q6Y","X00277ZSBB","VNFLY Shield Keychain, Cool Gifts for Men, Husband, Boyfriend","ATL2","US","2.25","2.05","0.65","inches","0.09","pounds","0.0017","cubic feet","Standard-Size","13.47","0.0","0.0232","2022-09","0.83","USD","0.0192","--","N","N","0.0","--","0.1"
"B07V278VJ1","X0028N5BQ1","Nidavellir Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ATL2","US","3.2","1.8","0.04","inches","0.5","pounds","1.0E-4","cubic feet","Standard-Size","7.0","0.0","9.0E-4","2022-09","0.83","USD","8.0E-4","--","N","N","0.0","--","0.0"
"B07V1RBC2X","X0028O2PTV","VNFLY Hammer Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend (Silver)","ATL2","US","4.53","3.46","0.87","inches","0.09","pounds","0.0079","cubic feet","Standard-Size","5.0","0.0","0.0392","2022-09","0.83","USD","0.0325","--","N","N","0.0","--","0.03"
"B07V279H18","X0028QC9OP","Nidavellir 2-Pack Hammer Keychain Bottle Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ATL2","US","4.0","3.7","1.0","inches","0.25","pounds","0.0086","cubic feet","Standard-Size","8.23","0.0","0.0694","2022-09","0.83","USD","0.0576","--","N","N","0.0","--","0.13"
"B07XM2WL3W","X002BBZ4MB","Nidavellir 2-Pack Fist Beer Opener and Glove Keychain Bottle Opener, Beer Gifts Bottle Opener for Men, Husband, Dad, Grandpa, Boyfriend","ATL2","US","5.9","3.6","2.6","inches","0.6","pounds","0.032","cubic feet","Standard-Size","1.0","0.0","0.032","2022-09","0.83","USD","0.0265","--","N","N","0.0","--","0.0"
